Rank,ID,Background,Hair,Skin,Eyes,Body,Head,Accessory,Glasses,Hands,Total
1,340,0.2907983106,13.63636364,1.678657074,4.061895551,1.773648649,0.7501385042,0,0,0.9052948773,23.0967966
2,4176,3.235747304,13.63636364,2.405498282,0.5259203606,1.458333333,0.3872997712,0,0.7992177314,0,22.44838042
3,3501,4.713804714,2.586206897,0.8641975309,0.5362614913,1.339285714,2.226973684,0,9.430769231,0,21.69749926
4,2608,4.713804714,13.63636364,0.4474272931,0.5362614913,0.7630813953,0,0,0.5016366612,0.6979754398,21.29655063
5,607,0.2907983106,13.63636364,2.405498282,1.928374656,0.8306962025,1.113486842,0,0.7992177314,0,21.00443566
6,2756,0.2907983106,0.4444444444,2.405498282,1.928374656,1.339285714,0.4510326449,4.2625,9.430769231,0,20.55270328
7,3585,9.79020979,2.586206897,2.405498282,1.928374656,3.453947368,0.3872997712,0,0,0,20.55153676
8,1310,9.79020979,1.477832512,1.678657074,3.743315508,1.215277778,1.781578947,0,0,0.6979754398,20.38484705
9,2687,9.79020979,1.298701299,1.678657074,4.061895551,1.526162791,1.096356275,0,0,0.7433722163,20.195355
10,2183,0.9026434558,13.63636364,0.8641975309,0.2169421488,0.6696428571,2.226973684,0,0,0.7950850662,19.31184838
11,619,0.2907983106,13.63636364,1.275045537,0.2169421488,0.5514705882,2.639376218,0,0,0.534706331,19.14470277
12,1233,1.55210643,1.020408163,5.363984674,3.856749311,1.458333333,0.7831116252,0,3.929487179,1.157402312,19.12158303
13,1501,1.55210643,0.4195804196,5.363984674,5.454545455,1.526162791,0.7055758207,1.082539683,1.209072978,1.758361204,19.07192945
14,44,0.4294917681,13.63636364,2.405498282,1.928374656,0.4825367647,0,0,0,0,18.88226511
15,2731,9.79020979,1.41509434,1.678657074,3.743315508,1.458333333,0,0.682,0,0,18.76761005
16,4109,0.9090909091,1.41509434,5.363984674,3.743315508,0.8989726027,0.3872997712,0,5.894230769,0,18.61198857
17,2463,0.2907983106,13.63636364,0.4474272931,0.5259203606,0.9242957746,1.781578947,0,0.2694505495,0.6531055901,18.52894046
18,2444,0.4294917681,13.63636364,1.275045537,0.2169421488,0.7457386364,0,0,2.143356643,0,18.44693837
19,3565,1.55210643,13.63636364,0.4410838059,0.5362614913,1.396276596,0.8483709273,0,0,0,18.41046289
20,1126,9.79020979,3.157894737,0.4410838059,0.2169421488,2.1875,0.6362781955,0,0.2694505495,1.428668478,18.1280277
21,1200,0.9026434558,13.63636364,0.4474272931,0.2169421488,0.4825367647,2.375438596,0,0,0,18.0613519
22,3605,1.80102916,2.586206897,0.8641975309,10.31941032,0.7543103448,0,0,0,1.604118993,17.92927324
23,1008,0.9090909091,2.205882353,1.859229748,0.2169421488,0.8522727273,2.375438596,0,9.430769231,0,17.84962571
24,1214,1.80102916,0.4444444444,5.363984674,4.061895551,0.7720588235,1.018045113,0,0,4.354037267,17.81549503
25,2340,9.79020979,0.4195804196,0.4410838059,0.2169421488,3.453947368,0.5524275806,0.6959183673,0.6736263736,1.428668478,17.67240433
26,1613,0.4294917681,13.63636364,1.218450827,0.5259203606,1.458333333,0.3872997712,0,0,0,17.6558597
27,2230,9.79020979,3.157894737,0.4474272931,0.5259203606,0.8203125,1.16824849,0,1.178846154,0.534706331,17.62356566
28,1153,3.602058319,1.298701299,5.363984674,3.743315508,0.6628787879,1.063629222,0,1.209072978,0.6531055901,17.59674638
29,2647,0.9026434558,13.63636364,1.859229748,0.5259203606,0.6696428571,0,0,0,0,17.59380006
30,2818,3.235747304,1.41509434,0.8641975309,6.94214876,1.458333333,2.159489633,0,0,1.428668478,17.50367938
31,2014,1.55210643,13.63636364,0.4474272931,0.2169421488,1.526162791,0,0,0,0,17.3790023
32,1610,9.79020979,2.586206897,0.8641975309,0.2169421488,0.6628787879,1.113486842,0,2.143356643,0,17.37727864
33,72,1.081637909,0.9036144578,1.218450827,10.31941032,1.822916667,1.207850134,0,0,0.7433722163,17.29725253
34,2166,0.4294917681,13.63636364,1.275045537,0.5259203606,0.6433823529,0,0,0,0.7143342391,17.22453789
35,1599,0.2907983106,13.63636364,0.8641975309,0.5259203606,0.5912162162,0.7055758207,0,0,0.6055283616,17.21960024
36,4039,0.2907983106,13.63636364,1.859229748,0.2169421488,0.5561440678,0.6598440546,0,0,0,17.21932197
37,860,3.602058319,1.298701299,5.363984674,3.856749311,1.682692308,0.6090868196,0,0,0.7950850662,17.2083578
38,1442,1.081637909,13.63636364,0.8641975309,0.2169421488,0.7543103448,0.630647415,0,0,0,17.18409898
39,77,1.80102916,13.63636364,0.4410838059,0.2169421488,0.7543103448,0,0,0.322971549,0,17.17270064
40,3269,0.4294917681,13.63636364,0.4474272931,0.2169421488,0.5912162162,0.6598440546,0,0,1.157402312,17.13868743
41,1869,9.79020979,3.157894737,1.218450827,0.2169421488,0.8306962025,1.16824849,0,0,0.7143342391,17.09677643
42,2349,4.713804714,0.4195804196,2.405498282,6.94214876,0.5208333333,0.4510326449,0,0,1.498930862,16.95182902
43,3413,4.713804714,0.3896103896,1.859229748,1.100340582,0.7457386364,2.226973684,0,5.894230769,0,16.92992852
44,2469,0.9026434558,3.846153846,0.4410838059,0.2169421488,0.9114583333,0,0,9.430769231,1.157402312,16.90645313
45,4070,0.4294917681,3.846153846,5.363984674,5.454545455,1.773648649,0,0,0,0,16.86782439
46,530,1.80102916,0.4444444444,5.363984674,5.454545455,1.526162791,0.5524275806,0,0.7037887486,0.9052948773,16.75167773
47,2227,3.235747304,0.3896103896,5.363984674,3.743315508,1.215277778,1.096356275,0,0.9430769231,0.6979754398,16.68534429
48,3870,1.80102916,0.3896103896,1.218450827,10.31941032,1.600609756,0.4510326449,0,0,0.8708074534,16.65095055
49,743,3.235747304,1.020408163,5.363984674,3.856749311,1.526162791,0,0,0.9430769231,0.6979754398,16.64410461
50,556,9.79020979,0.4444444444,2.405498282,1.928374656,0.7543103448,0.6090868196,0,0,0.6979754398,16.62989978
51,3921,9.79020979,0.4195804196,1.218450827,0.5259203606,0.6628787879,1.397316821,0,0,2.61242236,16.62677937
52,808,0.2907983106,0.4444444444,0.8641975309,10.31941032,1.339285714,0.7501385042,0,0,2.61242236,16.62069718
53,751,1.081637909,1.020408163,0.8641975309,10.31941032,2.1875,1.113486842,0,0,0,16.58664076
54,1468,1.80102916,0.3896103896,5.363984674,4.061895551,0.7543103448,4.191950464,0,0,0,16.56278058
55,2674,1.80102916,0.9345794393,1.678657074,5.454545455,3.453947368,1.781578947,0,0.7037887486,0.7199589182,16.52808511
56,3814,3.235747304,0.9036144578,1.275045537,10.31941032,0.7211538462,0,0,0,0,16.45497146
